Title,Note,URL,Tags,Comment
The Postal Museum,,https://www.google.com/maps/place/The+Postal+Museum/data=!4m2!3m1!1s0x48761b48c0e9d009:0x2c035afa3c3306f0,,
The National Gallery,,https://www.google.com/maps/place/The+National+Gallery/data=!4m2!3m1!1s0x487604ce176ac979:0x42af85654e23a0b4,,
Tate Britain,,https://www.google.com/maps/place/Tate+Britain/data=!4m2!3m1!1s0x487604e9c5c268bd:0xf51fd991541028a0,,
"Immersive Gamebox - Southbank, London",,"https://www.google.com/maps/place/Immersive+Gamebox+-+Southbank,+London/data=!4m2!3m1!1s0x487605e161234b5b:0x9b801ce3cbad0077",,
The British Museum,,https://www.google.com/maps/place/The+British+Museum/data=!4m2!3m1!1s0x48761b323093d307:0x2fb199016d5642a7,,
Portobello Road Market,,https://www.google.com/maps/place/Portobello+Road+Market/data=!4m2!3m1!1s0x4876116eda01561b:0x6634343ef46febb1,,
Laville Restaurant West London,,https://www.google.com/maps/place/Laville+Restaurant+West+London/data=!4m2!3m1!1s0x48761aafe0d1c809:0xde0e88c114d41ff4,,
Henry Pordes Books Ltd,,https://www.google.com/maps/place/Henry+Pordes+Books+Ltd/data=!4m2!3m1!1s0x0:0x5e64d79d129541b4,,
BookMongers,,https://www.google.com/maps/place/BookMongers/data=!4m2!3m1!1s0x487604688ecef3d5:0x33e5f47e13518a45,,
Judd Books,,https://www.google.com/maps/place/Judd+Books/data=!4m2!3m1!1s0x0:0x346cace56d914a9e,,
Skoob Books,,https://www.google.com/maps/place/Skoob+Books/data=!4m2!3m1!1s0x48761b30af6736d7:0xba45752dbb4d56a9,,
Trinity Great Court,,https://www.google.com/maps/place/Trinity+Great+Court/data=!4m2!3m1!1s0x47d870bc28c3d249:0xfdcd8452564d4a82,,
Bridge of Sighs,,https://www.google.com/maps/place/Bridge+of+Sighs/data=!4m2!3m1!1s0x47d870bebf8ce609:0xcf27ebf4e45755ae,,
Parker's Piece,,https://www.google.com/maps/place/Parker's+Piece/data=!4m2!3m1!1s0x47d870909eb007ff:0x38d15812ac96ca14,,
Palace of Westminster,,https://www.google.com/maps/place/Palace+of+Westminster/data=!4m2!3m1!1s0x487604c40c8d9b99:0x7797a8ef74e1f7c,,
The Old Operating Theatre Museum and Herb Garret,,https://www.google.com/maps/place/The+Old+Operating+Theatre+Museum+and+Herb+Garret/data=!4m2!3m1!1s0x48760350acdd105d:0x1847ce1e1a38fb4f,,
Word On The Water - The London Bookbarge,,https://www.google.com/maps/place/Word+On+The+Water+-+The+London+Bookbarge/data=!4m2!3m1!1s0x48761b3e0490a9d7:0xfaf5339588f9cc43,,
Laundress Green,,https://www.google.com/maps/place/Laundress+Green/data=!4m2!3m1!1s0x47d870a3364605b7:0x8559c231bc7762d6,,
Cambridge University Botanic Garden,,https://www.google.com/maps/place/Cambridge+University+Botanic+Garden/data=!4m2!3m1!1s0x47d8709dc9b6fa03:0xeddc913f0dc06549,,
The Centre for Computing History,,https://www.google.com/maps/place/The+Centre+for+Computing+History/data=!4m2!3m1!1s0x47d85ef49b971673:0x885a70c2618fcbea,,
The Story Museum,,https://www.google.com/maps/place/The+Story+Museum/data=!4m2!3m1!1s0x4876c6afffdb9abf:0x37007a572c93207d,,
The Watcher Tree,,https://www.google.com/maps/place/The+Watcher+Tree/data=!4m2!3m1!1s0x4876c76ee3737e8f:0x288c242ea52b46f2,,
New Marston Meadows,,https://www.google.com/maps/place/New+Marston+Meadows/data=!4m2!3m1!1s0x4876c1ebfc72cc8d:0x905d371d959eb263,,
Magdalen College,,https://www.google.com/maps/place/Magdalen+College/data=!4m2!3m1!1s0x487b8b572e92f737:0x249413262e2524c2,,
Clarendon Building,,https://www.google.com/maps/place/Clarendon+Building/data=!4m2!3m1!1s0x4876c6aedd6caa7f:0xc716c10fa0acba69,,
Christ Church,,https://www.google.com/maps/place/Christ+Church/data=!4m2!3m1!1s0x4876c6b023ce50cf:0x4e7d5b2a18299b40,,
Oxford University Museum of Natural History,,https://www.google.com/maps/place/Oxford+University+Museum+of+Natural+History/data=!4m2!3m1!1s0x4876c6a85ae1ca65:0x2b1bc402e55d6557,,
Christ Church Meadow,,https://www.google.com/maps/place/Christ+Church+Meadow/data=!4m2!3m1!1s0x4876c6b3de0bc0db:0x5b994b673916e93f,,
Bodleian Library,,https://www.google.com/maps/place/Bodleian+Library/data=!4m2!3m1!1s0x4876c6a223357d37:0x8e6c0d1b699d1702,,
Fukushima Garden,,https://www.google.com/maps/place/Fukushima+Garden/data=!4m2!3m1!1s0x48760fa77f692951:0x2bf673ab8901cea5,,
